feature,importance,fold
PREV_RATE_DOWN_PAYMENT_MIN,45,1
PREV_RATE_DOWN_PAYMENT_MAX,32,1
PREV_RATE_DOWN_PAYMENT_MEAN,59,1
PREV_DAYS_DECISION_MIN,45,1
PREV_DAYS_DECISION_MAX,103,1
PREV_DAYS_DECISION_MEAN,86,1
PREV_CNT_PAYMENT_MEAN,193,1
PREV_CNT_PAYMENT_SUM,59,1
PREV_SK_ID_PREV_MEAN,116,1
PREV_NFLAG_LAST_APPL_IN_DAY_MEAN,4,1
PREV_RATE_INTEREST_PRIMARY_MEAN,0,1
PREV_RATE_INTEREST_PRIVILEGED_MEAN,1,1
PREV_SELLERPLACE_AREA_MEAN,144,1
PREV_DAYS_FIRST_DRAWING_MEAN,78,1
PREV_DAYS_FIRST_DUE_MEAN,55,1
PREV_DAYS_LAST_DUE_1ST_VERSION_MEAN,177,1
PREV_DAYS_LAST_DUE_MEAN,113,1
PREV_DAYS_TERMINATION_MEAN,137,1
PREV_NFLAG_INSURED_ON_APPROVAL_MEAN,32,1
PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN,37,1
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,14,1
PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN,15,1
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,68,1
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,83,1
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,38,1
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,20,1
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,47,1
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,27,1
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,35,1
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0,1
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex_MEAN,0,1
PREV_NAME_CASH_LOAN_PURPOSE_Business_development_MEAN,0,1
